method,dataset,ratio,seed,oa,aa,macro_f1,kappa,ncm_pp,max_drop_pp,harmed,benefited,d_oa_vs_sup_pp,missing
Supervised,gf3,0.1,42,86.0,86.0,85.549,83.2,0.0,0.0,0,0,0.0,0
Supervised,flevoland,0.1,42,81.115,80.698,79.571,79.75,0.0,0.0,0,0,0.0,0
Supervised,gf3,0.1,43,87.5,87.5,87.407,85.0,0.0,0.0,0,0,0.0,0
Supervised,flevoland,0.1,43,81.355,81.201,81.591,80.017,0.0,0.0,0,0,0.0,0
Supervised,gf3,0.5,42,90.083,90.083,90.183,88.1,0.0,0.0,0,0,0.0,0
Supervised,flevoland,0.5,42,91.331,90.797,91.066,90.705,0.0,0.0,0,0,0.0,0
Supervised,gf3,0.5,43,88.833,88.833,88.505,86.6,0.0,0.0,0,0,0.0,0
Supervised,flevoland,0.5,43,92.886,92.69,92.769,92.376,0.0,0.0,0,0,0.0,0
Supervised,gf3,1.0,42,94.333,94.333,94.345,93.2,0.0,0.0,0,0,0.0,0
Supervised,flevoland,1.0,42,94.561,94.026,94.192,94.168,0.0,0.0,0,0,0.0,0
Supervised,gf3,1.0,43,92.417,92.417,92.349,90.9,0.0,0.0,0,0,0.0,0
Supervised,flevoland,1.0,43,96.072,96.062,96.09,95.791,0.0,0.0,0,0,0.0,0
Soft-PL (candidate),gf3,0.1,42,87.125,87.125,87.289,,10.25,5.5,3,2,1.125,0
Soft-PL (candidate),flevoland,0.1,42,86.775,86.262,86.279,,40.0,21.5,4,10,5.66,0
Soft-PL (candidate),gf3,0.1,43,84.25,84.25,83.461,,31.25,24.0,4,2,-3.25,0
Soft-PL (candidate),flevoland,0.1,43,89.245,89.271,89.419,,19.5,9.5,4,10,7.889,0
Soft-PL (candidate),gf3,0.5,42,89.208,89.208,89.33,,10.5,5.75,2,3,-0.875,0
Soft-PL (candidate),flevoland,0.5,42,94.204,93.71,93.863,,6.0,2.5,3,12,2.873,0
Soft-PL (candidate),gf3,0.5,43,91.208,91.208,91.126,,9.5,9.5,1,5,2.375,0
Soft-PL (candidate),flevoland,0.5,43,95.634,95.485,95.541,,5.75,3.0,2,10,2.748,0
Soft-PL (candidate),gf3,1.0,42,93.75,93.75,93.704,,6.5,3.75,2,2,-0.583,0
Soft-PL (candidate),flevoland,1.0,42,96.039,95.497,95.672,,7.0,5.5,3,11,1.479,0
Soft-PL (candidate),gf3,1.0,43,91.0,91.0,90.976,,12.5,8.75,4,1,-1.417,0
Soft-PL (candidate),flevoland,1.0,43,96.494,96.472,96.506,,16.852,10.0,6,7,0.421,0
Random,gf3,0.1,42,85.667,85.667,85.459,82.8,14.5,5.75,4,1,-0.333,0
Random,flevoland,0.1,42,91.586,90.854,91.08,90.977,10.154,5.654,5,10,10.471,0
Random,gf3,0.1,43,86.292,86.292,86.172,83.55,16.0,9.25,3,2,-1.208,0
Random,flevoland,0.1,43,92.38,92.204,92.277,91.834,16.75,15.0,2,13,11.025,0
Random,gf3,0.5,42,90.833,90.833,90.835,89.0,8.75,8.75,1,3,0.75,0
Random,flevoland,0.5,42,92.317,91.867,91.926,91.762,34.75,19.75,5,9,0.986,0
Random,gf3,0.5,43,90.792,90.792,90.757,88.95,15.0,13.75,2,3,1.958,0
Random,flevoland,0.5,43,95.415,95.31,95.372,95.086,13.75,5.25,5,10,2.529,0
Random,gf3,1.0,42,94.167,94.167,94.186,93.0,6.75,5.75,2,3,-0.167,0
Random,flevoland,1.0,42,95.988,95.467,95.644,95.699,2.5,1.5,3,8,1.428,0
